        для 8 элементов			     сортировка bubble				 сортировка comb
неотсортирован  один элемент    |		   13-28  							31
неотсортирована первая половина |			25								31
неотсортирована вторая половина |			22								31
неотсортирован целиком			|			28								31
отсортирован целиком			|			7								24

        для 16 элементов
неотсортирован один элемент     |		  29-120							100
неотсортирована первая половина |			92								100
неотсортирована вторая половина |			92								100
неотсортирован целиком			|			120								100
отсортирован целиком			|			15								85
